sku,price
1006 - 60,17.9312
1006 - 90,24.3
1006,10.0625
1007 - 28,18.3885
1007 - 56,33.9136
1007 - 84,47.682
1007,18.3885
1008 - 28,25.875
1008 - 56,49.448
1008 - 84,70.1676
1008,25.875
128 - 30,8.096
128 - 60,14.4256
128 - 90,19.5696
128,8.096
129 - 30,3.2545
129 - 60,6.0368
129 - 90,7.992
129,3.2545
130 - 30,5.451
130 - 60,9.7104
130 - 90,13.4244
130,5.451
733 - 30,7.544
733 - 60,13.4624
733 - 90,17.7876
733,7.544
734 - 30,8.602
734 - 60,15.3216
734 - 90,20.7792
734,8.602
735 - 30,3.8985
735 - 60,7.28
735 - 90,9.6228
735,3.8985
736 - 30,2.484
736 - 60,4.6144
736 - 90,6.372
736,2.484
737 - 40,34.4885
737 - 80,65.9344
737 - 120,93.5496
737,34.4885
738 - 40,43.1135
738 - 80,82.4208
738 - 120,116.9424
738,43.1135
1346 - 30,8.602
1346 - 60,15.3216
1346 - 90,20.7792
1346,8.602
815 - 30,24.3685
815 - 60,45.7744
815 - 90,64.368
815,24.3685
420 - 30,12.42
420 - 60,21.7392
420 - 90,30.0132
420,12.42
421 - 21,8.602
421 - 42,15.3216
421 - 84,27.7128
421,8.602
422 - 30,12.581
422 - 60,22.008
422 - 90,30.3696
422,12.581
853 - 20,12.581
853 - 40,22.008
853 - 80,40.5108
853,12.581
854 - 20,18.3885
854 - 40,33.9136
854 - 80,63.5796
854,18.3885
855 - 28,28.75
855 - 56,54.9472
855 - 84,77.9544
855,28.75
856 - 28,31.625
856 - 56,60.4352
856 - 84,85.752
856,31.625
857 - 30,24.0695
857 - 60,45.2144
857 - 90,63.5796
857,24.0695
1040 - 30,52.164
1040 - 60,99.7248
1040 - 90,141.4908
1040,52.164
1041 - 30,252.0685
1041 - 60,481.8016
1041 - 90,683.6184
1041,252.0685
1042 - 1,6.785
1042 - 3,17.36
1042 - 6,31.374
1042,6.785
1043 - 1,14.421
1043 - 3,38.1472
1043 - 6,71.5284
1043,14.421
1044 - 30,30.1875
1044 - 60,57.6912
1044 - 90,81.8532
1044,30.1875
865 - 30,17.273
865 - 60,31.8864
865 - 90,44.82
865,17.273
1015 - 28,25.4035
1015 - 56,47.2528
1015 - 84,68.3316
1015,3.795
1016 - 28,41.446
1016 - 56,77.0448
1016 - 84,111.4452
1016,6.2445
770 - 30,51.957
770 - 60,99.2992
770 - 90,140.9076
770,51.957
772 - 84,87.48
772,87.48
501 - 60,9.522
501 - 120,16.9792
501 - 180,23.004
501,9.522
923 - 1,14.421
923 - 2,27.1264
923 - 3,38.1456
923,14.421
924 - 1,19.6075
924 - 2,37.296
924 - 3,52.4556
924,19.6075
925 - 30,28.75
925 - 60,54.9472
925 - 90,77.9544
925,28.75
926 - 30,13.156
926 - 60,23.2176
926 - 90,32.6484
926,13.156
927 - 30,19.3085
927 - 60,35.6048
927 - 90,50.0688
927,19.3085
928 - 30,22.747
928 - 60,42.7168
928 - 90,60.0804
928,22.747
929 - 1,43.1135
929 - 2,82.4208
929 - 3,116.9424
929,43.1135
930 - 1,57.4885
930 - 3,164.8304
930 - 6,296.9892
930,57.4885
441 - 120,20.93
441 - 240,39.36
441,20.93
442 - 30,8.4525
442 - 60,15.0528
442 - 90,20.4228
442,8.4525
443 - 1,15.318
443 - 3,42.3808
443 - 5,66.2256
443,15.318
445 - 100,15.99
445,15.99
446 - 60,40.2385
446 - 120,76.9216
446 - 180,109.1448
446,40.2385
447 - 60,25.875
447 - 120,49.448
447 - 180,70.1676
447,25.875
448 - 2,11.8335
448 - 4,21.1008
448 - 6,28.5984
448,11.8335
104 - 30,3.703
104 - 60,6.888
104 - 90,9.1368
